slug,priority,index_goal,status,seo_intent,page_role,primary_decision_question,unique_angle,primary_mechanic,secondary_mechanic,excluded_mechanics,keep_sections,cut_sections,block_1_type,block_1_topic,block_1_words,block_1_placement,block_2_type,block_2_topic,block_2_words,block_2_placement,existing_word_estimate,new_words_total,total_target_words,cta_primary_text,cta_secondary_text,cta_microcopy,contact_route,template_override,override_elements,override_notes,faq_theme,faq_unique_q_count,block_1_content,block_2_content
/wintergarten-systeme,A,must_index,todo,commercial,hub,Wintergarten oder Pergola?,Abgrenzung,authority_frame,trust_depth,discounts,Intro,Duplikate,comparison,Unterschiede,160,after_intro,risk,Nutzung Winter,80,before_faq,280,240,520,System prüfen,—,Klar entscheiden,appointment,TRUE,trust_block,Trust kürzen,vergleich,5,"Wintergarten und Pergola unterscheiden sich grundlegend in Nutzung und Bauweise. Diese Seite hilft, die passende Lösung für Ganzjahres- oder Übergangsnutzung zu wählen.","Risiken entstehen durch falsche Erwartungen an Dämmung und Wintertauglichkeit."
/wintergarten-systeme/kaltwintergarten,B,must_index,todo,commercial,decision,Reicht kalt?,Kosten/Nutzen,rationalization,authority_frame,discounts,Intro,Allgemeines,decision,Wann kalt sinnvoll,140,after_intro,risk,Frost,80,before_faq,260,220,480,Beratung prüfen,—,Eignung klären,appointment,FALSE,—,—,winter,5,"Ein Kaltwintergarten ist kosteneffizient für Übergangszeiten. Diese Seite hilft zu prüfen, ob diese Lösung für Ihre Nutzung ausreicht.","Risiken liegen bei Frost, fehlender Isolierung und eingeschränkter Nutzung im Winter."
/wintergarten-systeme/glasschiebewand,B,must_index,todo,commercial,decision,Glasschiebewand nötig?,Offen/zu,rationalization,trust_depth,discounts,Intro,Wiederholungen,decision,Einsatzlogik,140,after_features,risk,Dichtigkeit,80,before_faq,260,220,480,Lösung bewerten,—,Option prüfen,appointment,FALSE,—,—,glas,5,"Glasschiebewände schaffen Wind- und Wetterschutz bei offener Nutzung. Diese Seite hilft zu entscheiden, wann sie sinnvoll ergänzen.","Risiken entstehen durch minderwertige Lauftechnik oder unzureichende Dichtigkeit."
/wintergarten-systeme/montage,B,must_index,todo,informational,service,Montage Glas?,Sicherheit,authority_frame,trust_depth,discounts,Intro,Marketing,process,Glas-Handling,160,after_intro,risk,Schäden,80,before_cta,260,240,500,Ablauf klären,—,Sicher,callback,FALSE,—,—,montage,5,"Die Montage eines Wintergartens stellt andere Anforderungen als eine Pergola. Glas, Anschlüsse und Abdichtung müssen präzise zusammenspielen. Diese Seite beschreibt, worauf es bei der Montage ankommt, damit Funktion und Sicherheit langfristig gewährleistet bleiben.","Risiken entstehen durch unsachgemäßes Glas-Handling, fehlerhafte Anschlüsse oder fehlende Erfahrung. Das führt zu Undichtigkeiten oder Schäden an der Bausubstanz."
/wintergarten-systeme/polen-preise,A,must_index,todo,commercial,comparison,Import oder DE?,Gewährleistung,risk_reduction,authority_frame,discounts,Intro,Polemik,comparison,Import vs DE,160,after_intro,risk,Haftung,100,before_cta,260,260,520,Beratung anfragen,—,Risiko vermeiden,appointment,FALSE,—,—,import,5,"Importangebote wirken oft günstiger, unterscheiden sich aber deutlich bei Gewährleistung und Service. Diese Seite hilft, Preise realistisch zu vergleichen und die langfristigen Konsequenzen zu bewerten.","Risiken liegen bei fehlenden Ansprechpartnern, Ersatzteilen oder rechtlicher Durchsetzung im Schadensfall."
/zip-screen-systeme,B,must_index,todo,commercial,hub,Screen oder Markise?,Systemunterschied,rationalization,trust_depth,discounts,Intro,Duplikate,comparison,Screen ≠ Markise,140,after_intro,risk,Wind,80,before_faq,260,220,480,System prüfen,—,Auswahl starten,appointment,FALSE,—,—,screen,5,"Zip-Screen-Systeme sind für windstabile Beschattung und Sichtschutz konzipiert. Diese Seite hilft zu entscheiden, ob ein Screen-System besser passt als eine klassische Markise.","Risiken entstehen, wenn Einsatzbereich und Windlast unterschätzt werden. Nicht jedes System ist für jede Lage geeignet."
/zip-screen-systeme/senkrechtmarkise,B,must_index,todo,commercial,decision,Senkrecht sinnvoll?,Nutzung,rationalization,trust_depth,discounts,Intro,Allgemeines,decision,Einsatzfälle,140,after_features,risk,Sicht,80,before_faq,260,220,480,Lösung bewerten,—,Eignung prüfen,appointment,FALSE,—,—,markise,5,"Senkrechtmarkisen eignen sich zur gezielten Verschattung von Fassaden und Terrassen. Diese Seite hilft, den Einsatz nach Sonnenstand und Sichtbedarf zu bewerten.","Risiken bestehen bei unzureichender Führung oder falscher Montage, was zu Geräuschen und Verschleiß führt."
/zip-screen-systeme/terrasse,B,must_index,todo,commercial,decision,Terrasse beschatten?,Seitenlösung,rationalization,trust_depth,discounts,Intro,Wiederholungen,decision,Seitenbeschattung,140,after_intro,risk,Wind,80,before_faq,260,220,480,Projekt prüfen,—,Planung starten,appointment,FALSE,—,—,terrasse,5,"Für Terrassen schaffen Zip-Screens zusätzlichen Wind- und Sichtschutz. Diese Seite zeigt, wann Seitenbeschattung den Aufenthaltskomfort deutlich erhöht.","Risiken entstehen durch falsche Befestigung oder fehlende Abstimmung mit bestehenden Konstruktionen."
/zip-screen-systeme/wetterfest,B,must_index,todo,informational,risk,Wie wetterfest?	Grenzen,risk_reduction,authority_frame,discounts,Intro,Marketing,risk,Wind/Regen,160,after_intro,decision,Einsatzgrenzen,80,before_faq,260,240,500,Beratung prüfen,—,Sicherheit,appointment,FALSE,—,—,wetter,5,"Wetterfest bedeutet widerstandsfähig, aber nicht grenzenlos. Diese Seite hilft, realistische Erwartungen an Wind- und Regenschutz zu entwickeln.","Risiken liegen im Einsatz außerhalb der vorgesehenen Belastungsgrenzen, was die Lebensdauer verkürzt."
/ueber-uns,A,must_index,todo,trust,trust,Wer steht dahinter?,Verantwortung,trust_depth,authority_frame,discounts,Intro,Marketing,proof,Prozesse,160,after_intro,risk,Zuständigkeit,80,before_cta,260,240,500,Gespräch vereinbaren,—,Persönlich,appointment,FALSE,—,—,unternehmen,5,"Sanper arbeitet als Familienunternehmen mit klarer Verantwortung für Planung, Fertigung und Montage. Diese Seite gibt Einblick in Arbeitsweise und Entscheidungswege.","Risiken bei anonymen Anbietern sind unklare Zuständigkeiten und wechselnde Ansprechpartner."
/referenzen,A,must_index,todo,trust,proof,Belege?,Projekttypen,social_proof,investment_guarantee,discounts,Galerie,Marketing,proof,Learnings,160,after_gallery,decision,Vergleichbarkeit,80,before_cta,260,240,500,Projekt prüfen,—,Beispiele,appointment,FALSE,—,—,referenzen,5,"Referenzprojekte zeigen, wie Systeme in der Praxis genutzt werden. Diese Seite hilft, eigene Anforderungen mit realen Projekten abzugleichen.","Risiken entstehen, wenn Referenzen nicht vergleichbar sind oder wichtige Details fehlen."
/genehmigung,A,must_index,todo,informational,risk,Brauche ich Genehmigung?,Klarheit,risk_reduction,service_advance,discounts,Intro,Allgemeines,risk,Wann nötig,160,after_intro,decision,Vorgehen,80,before_cta,260,240,500,Genehmigung klären,—,Unterstützung,callback,FALSE,—,—,recht,5,"Je nach Bauart und Standort kann eine Genehmigung erforderlich sein. Diese Seite hilft zu klären, wann das zutrifft und wie vorzugehen ist.","Risiken bestehen bei verspäteter Klärung, die Projekte verzögern oder stoppen kann."
/wartung,B,must_index,todo,informational,expectation,Wartung real?,Langfrist,investment_guarantee,authority_frame,discounts,Intro,Marketing,decision,Wartungsbedarf,140,after_intro,risk,Kosten,80,before_cta,260,220,480,Wartung bewerten,—,Klarheit,appointment,FALSE,—,—,wartung,5,"Wartung beeinflusst Lebensdauer und Funktion. Diese Seite hilft, den realen Wartungsaufwand richtig einzuschätzen.","Risiken entstehen, wenn Wartung unterschätzt oder nicht eingeplant wird."
/lieferzeit,B,must_index,todo,informational,expectation,Wie lange?,Planung,expectation_mgmt,trust_depth,discounts,Intro,Marketing,decision,Faktoren,140,after_intro,risk,Verzögerungen,80,before_cta,260,220,480,Termin klären,—,Planbar,callback,FALSE,—,—,lieferung,5,"Lieferzeiten hängen von Planung, Fertigung und Montage ab. Diese Seite erklärt die wichtigsten Einflussfaktoren.","Risiken entstehen durch unrealistische Erwartungen oder fehlende Abstimmung im Projektablauf."
/kontakt,A,must_index,todo,commercial,service,Wie starten?,Qualifizierung,service_advance,trust_depth,discounts,Form,Ablenkung,decision,Nächste Schritte,120,before_form,risk,Erwartungen,80,after_form,220,200,420,Rückruf anfordern,—,Schnell,callback,TRUE,bottom_cta,CTA ändern,kontakt,3,"Der Kontakt dient der strukturierten Klärung Ihres Projekts. Diese Seite beschreibt, wie der nächste Schritt abläuft und welche Informationen sinnvoll sind.","Risiken entstehen, wenn Anforderungen unklar bleiben oder zu früh Angebote eingeholt werden."
